Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD5136,-IF,02/06/2018 08:20,02/06/2018 09:01,GIG,VCP,02/06/2018 10:24,02/06/2018 10:54,0 days 04:06:00,0 days 00:00:00,0 days 04:06:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,06/06/2018 03:00,06/06/2018 03:00,VCP,VCP,07/06/2018 02:59,07/06/2018 03:29,0 days 09:46:00,0 days 02:31:00,0 days 07:15:00,0 days 00:00:00,0 days 00:00:00
AD5283,-F,08/06/2018 01:15,08/06/2018 05:50,MCZ,VCP,08/06/2018 08:46,08/06/2018 09:16,0 days 13:04:00,0 days 04:20:00,0 days 08:44:00,0 days 00:00:00,0 days 00:00:00
AD4107,-F,09/06/2018 10:20,09/06/2018 14:25,SSA,VCP,09/06/2018 16:53,09/06/2018 17:23,0 days 21:37:00,0 days 12:00:00,0 days 09:37:00,0 days 12:00:00,0 days 03:37:00
AD4167,-F,NaT,NaT,CGB,VCP,NaT,NaT,0 days 04:49:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,04/07/2018 03:00,04/07/2018 03:00,VCP,VCP,05/07/2018 03:00,05/07/2018 03:30,0 days 01:40:00,0 days 01:40:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4261,-F,05/07/2018 17:10,06/07/2018 00:10,GIG,VCP,06/07/2018 01:39,06/07/2018 02:09,0 days 00:51:00,0 days 00:51:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9640,-F,06/07/2018 19:00,07/07/2018 00:48,SDU,VCP,07/07/2018 02:01,07/07/2018 02:31,0 days 00:29:00,0 days 00:29:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4432,-F,NaT,NaT,GYN,VCP,NaT,NaT,0 days 12:51:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4361,-F,NaT,NaT,VCP,CWB,NaT,NaT,0 days 00:33:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4154,-F,NaT,NaT,CWB,VCP,NaT,NaT,0 days 01:37:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
REX,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 03:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,09/08/2018 03:01,09/08/2018 03:01,VCP,VCP,10/08/2018 02:59,10/08/2018 03:29,0 days 00:06:00,0 days 00:06:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5024,-F,10/08/2018 15:35,10/08/2018 23:36,SDU,VCP,11/08/2018 00:58,11/08/2018 01:28,0 days 11:32:00,0 days 04:32:00,0 days 07:00:00,0 days 00:00:00,0 days 00:00:00
R22,-IF,12/08/2018 01:00,12/08/2018 01:00,VCP,VCP,12/08/2018 04:00,12/08/2018 04:30,0 days 10:31:00,0 days 01:30:00,0 days 09:01:00,0 days 00:00:00,0 days 06:01:00
REX,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 13:10:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
