Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD4915,-F,24/03/2022 17:20,CGH,SSA,24/03/2022 21:31,24/03/2022 23:51,25/03/2022 00:21,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2917,-I,25/03/2022 14:30,SSA,REC,25/03/2022 15:12,25/03/2022 16:26,25/03/2022 21:14,0 days 01:34:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4612,-F,25/03/2022 14:30,REC,BSB,25/03/2022 18:00,25/03/2022 20:44,25/03/2022 21:14,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4395,-I,26/03/2022 10:05,BSB,VCP,26/03/2022 10:36,26/03/2022 12:17,26/03/2022 21:01,0 days 01:35:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2404,-M,26/03/2022 10:05,VCP,MCZ,26/03/2022 13:52,26/03/2022 16:48,26/03/2022 21:01,0 days 00:47:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2560,-F,26/03/2022 10:05,MCZ,VCP,26/03/2022 17:35,26/03/2022 20:31,26/03/2022 21:01,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2921,-I,28/03/2022 12:20,VCP,POA,28/03/2022 12:55,28/03/2022 14:25,28/03/2022 23:11,0 days 01:10:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4206,-M,28/03/2022 12:20,POA,GRU,28/03/2022 15:35,28/03/2022 17:34,28/03/2022 23:11,0 days 00:26:00,0 days 01:44:00,0 days 00:00:00,0 days 00:00:00
AD2749,-F,28/03/2022 12:20,GRU,REC,28/03/2022 19:44,28/03/2022 22:41,28/03/2022 23:11,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4501,-I,31/03/2022 01:30,BEL,CNF,31/03/2022 02:05,31/03/2022 05:11,31/03/2022 07:48,0 days 00:05:00,0 days 00:49:00,0 days 00:00:00,0 days 00:00:00
AD4188,-F,31/03/2022 01:30,CNF,VCP,31/03/2022 06:05,31/03/2022 07:18,31/03/2022 07:48,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2886,-I,14/04/2022 16:10,VCP,VIX,14/04/2022 17:52,14/04/2022 19:29,15/04/2022 01:00,0 days 00:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
AD2945,-M,14/04/2022 16:10,VIX,VCP,14/04/2022 20:14,14/04/2022 21:53,15/04/2022 01:00,0 days 00:00:00,0 days 00:59:00,0 days 00:00:00,0 days 00:59:00
AD4853,-F,14/04/2022 16:10,VCP,VIX,14/04/2022 22:52,15/04/2022 00:30,15/04/2022 01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2945,-I,15/04/2022 17:45,VIX,VCP,15/04/2022 18:20,15/04/2022 19:57,16/04/2022 01:15,0 days 00:00:00,0 days 00:40:00,0 days 00:00:00,0 days 00:40:00
AD2643,-M,15/04/2022 17:45,VCP,CNF,15/04/2022 20:37,15/04/2022 21:35,16/04/2022 01:15,0 days 00:00:00,0 days 00:50:00,0 days 00:00:00,0 days 00:50:00
AD4219,-F,15/04/2022 17:45,CNF,POA,15/04/2022 22:25,16/04/2022 00:45,16/04/2022 01:15,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2720,-I,16/04/2022 15:20,POA,VCP,16/04/2022 15:57,16/04/2022 17:36,16/04/2022 22:11,0 days 00:24:00,0 days 00:41:00,0 days 00:00:00,0 days 00:00:00
AD4332,-F,16/04/2022 15:20,VCP,REC,16/04/2022 18:41,16/04/2022 21:41,16/04/2022 22:11,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4145,-I,17/04/2022 12:40,REC,CGH,17/04/2022 13:36,17/04/2022 16:50,18/04/2022 00:22,0 days 01:10:00,0 days 00:03:00,0 days 01:10:00,0 days 00:03:00
