Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
BUS,-IF,29/10/2022 13:00,29/10/2022 13:00,VCP,GRU,29/10/2022 15:00,29/10/2022 15:00,0 days 05:25:00,0 days 02:25:00,0 days 03:00:00,0 days 02:25:00,0 days 03:00:00
AD4769,-IF,30/10/2022 08:25,30/10/2022 09:03,GRU,CGB,30/10/2022 10:18,30/10/2022 10:48,0 days 12:07:00,0 days 04:55:00,0 days 07:12:00,0 days 00:00:00,0 days 00:00:00
AD4339,-F,31/10/2022 10:55,31/10/2022 16:55,CGB,VCP,31/10/2022 19:55,31/10/2022 20:25,1 days 01:35:00,0 days 13:35:00,0 days 12:00:00,0 days 04:00:00,0 days 09:00:00
AD2944,-IF,03/11/2022 16:54,03/11/2022 17:54,VCP,SDU,03/11/2022 18:57,03/11/2022 19:27,0 days 08:58:00,0 days 08:58:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4148,-F,04/11/2022 16:25,04/11/2022 22:20,SDU,SSA,05/11/2022 00:22,05/11/2022 00:52,0 days 01:43:00,0 days 01:43:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4248,-F,05/11/2022 14:35,05/11/2022 22:02,SDU,POA,06/11/2022 00:02,06/11/2022 00:32,0 days 06:38:00,0 days 05:28:00,0 days 01:10:00,0 days 05:28:00,0 days 01:10:00
AD4850,-IF,06/11/2022 19:10,06/11/2022 19:50,POA,VCP,06/11/2022 21:52,06/11/2022 22:22,0 days 01:38:00,0 days 01:38:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4472,-F,07/11/2022 14:30,07/11/2022 19:58,SSA,CNF,07/11/2022 21:41,07/11/2022 22:11,0 days 03:59:00,0 days 03:59:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2983,-F,08/11/2022 14:10,08/11/2022 19:29,CGB,VCP,08/11/2022 22:27,08/11/2022 22:57,0 days 00:33:00,0 days 00:33:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4124,-F,16/11/2022 04:55,16/11/2022 11:23,VCP,CGR,16/11/2022 11:54,16/11/2022 12:24,0 days 11:51:00,0 days 06:15:00,0 days 05:36:00,0 days 00:00:00,0 days 00:00:00
AD4254,-F,17/11/2022 12:15,17/11/2022 22:59,REC,FOR,18/11/2022 00:23,18/11/2022 00:53,0 days 06:37:00,0 days 05:07:00,0 days 01:30:00,0 days 00:00:00,0 days 00:00:00
AD4478,-F,18/11/2022 19:30,19/11/2022 01:58,BSB,GYN,19/11/2022 03:09,19/11/2022 03:39,0 days 04:06:00,0 days 02:21:00,0 days 01:45:00,0 days 00:00:00,0 days 00:00:00
AD5064,-IF,19/11/2022 19:45,19/11/2022 20:19,GYN,VCP,19/11/2022 21:49,19/11/2022 22:19,0 days 00:11:00,0 days 00:11:00,0 days 00:00:00,0 days 00:11:00,0 days 00:00:00
REU,-IF,21/11/2022 11:00,21/11/2022 11:00,VCP,VCP,21/11/2022 15:00,21/11/2022 15:00,0 days 09:00:00,0 days 06:00:00,0 days 03:00:00,0 days 00:00:00,0 days 00:00:00
AD2643,-F,22/11/2022 12:00,22/11/2022 20:25,VCP,CNF,22/11/2022 21:43,22/11/2022 22:13,0 days 07:57:00,0 days 07:47:00,0 days 00:10:00,0 days 00:00:00,0 days 00:00:00
AD4248,-F,23/11/2022 18:10,23/11/2022 21:58,SDU,POA,23/11/2022 23:58,24/11/2022 00:28,0 days 00:47:00,0 days 00:47:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4057,-IF,24/11/2022 13:15,24/11/2022 14:29,POA,VCP,24/11/2022 16:06,24/11/2022 16:36,0 days 00:54:00,0 days 00:00:00,0 days 00:54:00,0 days 00:00:00,0 days 00:00:00
AD2921,-F,28/11/2022 08:00,28/11/2022 13:33,VCP,POA,28/11/2022 15:12,28/11/2022 15:42,0 days 01:53:00,0 days 00:00:00,0 days 01:53:00,0 days 00:00:00,0 days 00:00:00
