Activity,Id_Leg,Checkin,Dep,Arr,Start,End,Checkout,Tempo Solo Diurno,Tempo Solo Noturno,Tempo Solo Especial Diurno,Tempo Solo Especial Noturno
AD5749,-M,NaT,FLN,GRU,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5364,-F,NaT,GRU,FLN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5728,-I,NaT,FLN,XAP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5749,-M,NaT,XAP,FLN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5749,-M,NaT,FLN,GRU,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4964,-F,NaT,GRU,GYN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4148,-I,NaT,GYN,PMW,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4149,-M,NaT,PMW,GYN,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4149,-F,NaT,GYN,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2498,-I,01/06/2018 01:25,VCP,JDO,01/06/2018 02:20,01/06/2018 05:05,01/06/2018 10:51,0 days 00:00:00,0 days 00:45:00,0 days 00:00:00,0 days 00:00:00
AD2499,-M,01/06/2018 01:25,JDO,VCP,01/06/2018 05:50,01/06/2018 08:52,01/06/2018 10:51,0 days 00:33:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4195,-F,01/06/2018 01:25,VCP,GIG,01/06/2018 09:25,01/06/2018 10:21,01/06/2018 10:51,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5282,-I,08/06/2018 01:15,VCP,MCZ,08/06/2018 02:09,08/06/2018 05:11,08/06/2018 09:16,0 days 00:00:00,0 days 00:39:00,0 days 00:00:00,0 days 00:00:00
AD5283,-F,08/06/2018 01:15,MCZ,VCP,08/06/2018 05:50,08/06/2018 08:46,08/06/2018 09:16,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4450,-I,09/06/2018 10:20,VCP,SSA,09/06/2018 11:37,09/06/2018 13:48,09/06/2018 17:23,0 days 00:37:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4107,-F,09/06/2018 10:20,SSA,VCP,09/06/2018 14:25,09/06/2018 16:53,09/06/2018 17:23,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4166,-I,NaT,VCP,CGB,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4166,-M,NaT,CGB,OPS,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4167,-M,NaT,OPS,CGB,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4167,-F,NaT,CGB,VCP,NaT,NaT,NaT,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5168,-I,05/07/2018 17:10,VCP,PFB,05/07/2018 17:54,05/07/2018 19:39,06/07/2018 02:09,0 days 00:00:00,0 days 00:43:00,0 days 00:00:00,0 days 00:00:00
