Activity,Id_Leg,Checkin,Checkout,Repouso
AD4079,-IF,2022-07-07 07:46:00,2022-07-07 12:02:00,0 days 15:33:00
AD2655,-F,2022-07-08 03:35:00,2022-07-08 10:53:00,0 days 13:07:00
FR,-IF,2022-07-09 00:00:00,2022-07-10 00:00:00,0 days 00:00:00
FA,-IF,2022-07-10 00:00:00,2022-07-11 00:00:00,0 days 00:00:00
FR,-IF,2022-07-11 00:00:00,2022-07-12 00:00:00,0 days 08:15:00
PLT,-IF,2022-07-12 08:15:00,2022-07-12 10:55:00,0 days 01:30:00
DMI24,-IF,2022-07-31 00:00:00,2022-08-01 00:00:00,0 days 03:00:00
SE,-IF,2022-08-01 03:00:00,2022-08-01 03:40:00,0 days 01:30:00
AD4568,-F,2022-08-01 05:10:00,2022-08-01 14:00:00,-1 days +22:10:00
BUS,-IF,2022-08-01 12:10:00,2022-08-01 14:00:00,0 days 17:45:00
AD2768,-F,2022-08-02 07:45:00,2022-08-02 19:10:00,-1 days +22:00:00
BUS,-IF,2022-08-02 17:10:00,2022-08-02 19:10:00,0 days 13:10:00
FR,-IF,2022-08-03 08:20:00,2022-08-04 08:20:00,0 days 00:00:00
FR,-IF,2022-08-04 08:20:00,2022-08-05 08:20:00,0 days 21:40:00
SFX,-IF,2022-08-06 06:00:00,2022-08-06 10:00:00,1 days 04:20:00
SFX,-IF,2022-08-07 14:20:00,2022-08-07 18:20:00,0 days 12:30:00
FR,-IF,2022-08-08 06:50:00,2022-08-09 06:50:00,0 days 00:00:00
FR,-IF,2022-08-09 06:50:00,2022-08-10 06:50:00,0 days 00:00:00
FR,-IF,2022-08-10 06:50:00,2022-08-11 06:50:00,0 days 06:05:00
AD4915,-F,2022-08-11 12:55:00,2022-08-12 00:38:00,0 days 16:47:00
AD4219,-F,2022-09-01 16:05:00,2022-09-02 01:23:00,0 days 12:27:00
AD2983,-F,2022-09-02 13:50:00,2022-09-02 22:47:00,0 days 13:13:00
DMI,-IF,2022-09-03 12:00:00,2022-09-04 00:00:00,0 days 00:00:00
FCD,-IF,2022-09-04 00:00:00,2022-09-05 00:00:00,0 days 00:00:00
DMI24,-IF,2022-09-05 00:00:00,2022-09-06 00:00:00,2 days 00:00:00
DMI24,-IF,2022-09-08 00:00:00,2022-09-09 00:00:00,0 days 03:00:00
SE,-IF,2022-09-09 03:00:00,2022-09-09 10:00:00,0 days 14:50:00
FR,-IF,2022-09-10 00:50:00,2022-09-11 00:50:00,0 days 00:00:00
FR,-IF,2022-09-11 00:50:00,2022-09-12 00:50:00,0 days 00:00:00
FR,-IF,2022-10-01 11:30:00,2022-10-02 11:30:00,0 days 20:30:00
AD4089,-F,2022-10-03 08:00:00,2022-10-03 15:11:00,0 days 14:24:00
AD4204,-F,2022-10-04 05:35:00,2022-10-04 11:38:00,0 days 17:57:00
AD2926,-F,2022-10-05 05:35:00,2022-10-05 11:57:00,1 days 00:08:00
AD2830,-F,2022-10-06 12:05:00,2022-10-06 22:15:00,0 days 13:40:00
AD4634,-F,2022-10-07 11:55:00,2022-10-07 23:15:00,0 days 13:25:00
AD9503,-IF,2022-10-08 12:40:00,2022-10-08 15:11:00,0 days 12:24:00
FR,-IF,2022-10-09 03:35:00,2022-10-10 03:35:00,0 days 00:00:00
FR,-IF,2022-10-10 03:35:00,2022-10-11 03:35:00,0 days 00:00:00
FR,-IF,2022-10-11 03:35:00,2022-10-12 03:35:00,0 days 00:00:00
FR,-IF,2022-11-02 10:00:00,2022-11-03 10:00:00,0 days 06:54:00
AD2944,-IF,2022-11-03 16:54:00,2022-11-03 19:27:00,0 days 20:58:00
AD4148,-F,2022-11-04 16:25:00,2022-11-05 00:52:00,0 days 13:43:00
AD4248,-F,2022-11-05 14:35:00,2022-11-06 00:32:00,0 days 18:38:00
AD4850,-IF,2022-11-06 19:10:00,2022-11-06 22:22:00,0 days 13:38:00
PLT,-IF,2022-11-07 12:00:00,2022-11-07 13:00:00,0 days 01:30:00
AD4472,-F,2022-11-07 14:30:00,2022-11-07 22:11:00,0 days 15:59:00
AD2983,-F,2022-11-08 14:10:00,2022-11-08 22:57:00,0 days 12:33:00
FR,-IF,2022-11-09 11:30:00,2022-11-10 11:30:00,0 days 00:00:00
FR,-IF,2022-11-10 11:30:00,2022-11-11 11:30:00,0 days 00:00:00
AD4355,-F,2022-12-01 11:25:00,2022-12-01 22:04:00,0 days 12:16:00
FR,-IF,2022-12-02 10:20:00,2022-12-03 10:20:00,1 days 00:00:00
FR,-IF,2022-12-04 10:20:00,2022-12-05 10:20:00,0 days 00:00:00
FR,-IF,2022-12-05 10:20:00,2022-12-06 10:20:00,0 days 13:40:00
FR,-IF,2022-12-07 00:00:00,2022-12-08 00:00:00,0 days 00:00:00
CMA,-IF,2022-12-08 00:00:00,2022-12-09 00:00:00,0 days 08:00:00
AD4849,-F,2022-12-09 08:00:00,2022-12-09 15:27:00,0 days 13:33:00
AD2926,-F,2022-12-10 05:00:00,2022-12-10 11:46:00,0 days 15:04:00
AD4824,-IF,2022-12-11 02:50:00,2022-12-11 07:08:00,0 days 13:07:00
FR,-IF,2022-12-31 00:00:00,2023-01-01 00:00:00,0 days 00:00:00
FP,-IF,2023-01-01 00:00:00,2023-01-02 00:00:00,0 days 00:00:00
FER,-IF,2023-01-02 00:00:00,2023-01-03 00:00:00,0 days 00:00:00
FER,-IF,2023-01-03 00:00:00,2023-01-04 00:00:00,0 days 00:00:00
FER,-IF,2023-01-04 00:00:00,2023-01-05 00:00:00,0 days 00:00:00
FER,-IF,2023-01-05 00:00:00,2023-01-06 00:00:00,0 days 00:00:00
FER,-IF,2023-01-06 00:00:00,2023-01-07 00:00:00,0 days 00:00:00
FER,-IF,2023-01-07 00:00:00,2023-01-08 00:00:00,0 days 00:00:00
FER,-IF,2023-01-08 00:00:00,2023-01-09 00:00:00,0 days 00:00:00
FER,-IF,2023-01-09 00:00:00,2023-01-10 00:00:00,0 days 00:00:00
FER,-IF,2023-01-10 00:00:00,2023-01-11 00:00:00,0 days 00:00:00
FER,-IF,2023-01-11 00:00:00,2023-01-12 00:00:00,0 days 00:00:00
FER,-IF,2023-01-31 00:00:00,2023-02-01 00:00:00,0 days 00:00:00
