Activity,Id_Leg,Checkin,Checkout,Repouso
FR,-IF,2018-07-01 03:00:00,2018-07-02 03:30:00,-1 days +23:30:00
SNA,-IF,2018-07-02 03:00:00,2018-07-03 03:30:00,-1 days +23:30:00
SNA,-IF,2018-07-03 03:00:00,2018-07-04 03:30:00,-1 days +23:30:00
SNA,-IF,2018-07-04 03:00:00,2018-07-05 03:30:00,0 days 13:40:00
AD4261,-F,2018-07-05 17:10:00,2018-07-06 02:09:00,0 days 12:51:00
PLT,-IF,2018-07-06 15:00:00,2018-07-06 18:00:00,0 days 01:00:00
AD9640,-F,2018-07-06 19:00:00,2018-07-07 02:31:00,0 days 12:29:00
FR,-IF,2018-07-07 15:00:00,2018-07-08 15:30:00,0 days 01:40:00
DMI,-IF,2018-07-08 17:10:00,2018-07-09 00:55:00,0 days 07:00:00
DMI,-IF,2018-07-09 07:55:00,2018-07-09 21:25:00,0 days 05:35:00
FAN,-IF,2018-07-10 03:00:00,2018-07-11 03:30:00,-1 days +23:30:00
SNA,-IF,2018-07-11 03:00:00,2018-07-12 03:30:00,-1 days +23:30:00
SNA,-IF,2018-08-01 03:01:00,2018-08-02 03:29:00,-1 days +23:32:00
SNA,-IF,2018-08-02 03:01:00,2018-08-03 03:29:00,-1 days +23:31:00
FR,-IF,2018-08-03 03:00:00,2018-08-04 03:30:00,-1 days +23:30:00
FR,-IF,2018-08-04 03:00:00,2018-08-05 03:30:00,-1 days +23:30:00
FR,-IF,2018-08-05 03:00:00,2018-08-06 03:30:00,-1 days +23:30:00
FR,-IF,2018-08-06 03:00:00,2018-08-07 03:30:00,-1 days +23:31:00
SNA,-IF,2018-08-07 03:01:00,2018-08-08 03:29:00,-1 days +23:32:00
SNA,-IF,2018-08-08 03:01:00,2018-08-09 03:29:00,-1 days +23:32:00
SNA,-IF,2018-08-09 03:01:00,2018-08-10 03:29:00,0 days 12:06:00
AD5024,-F,2018-08-10 15:35:00,2018-08-11 01:28:00,0 days 23:32:00
FR,-IF,2018-08-31 03:00:00,2018-09-01 03:30:00,0 days 09:40:00
AD5500,-F,2018-09-01 13:10:00,2018-09-01 23:12:00,1 days 01:28:00
AD2688,-F,2018-09-03 00:40:00,2018-09-03 09:08:00,0 days 17:52:00
SNA,-IF,2018-09-04 03:00:00,2018-09-05 03:29:00,-1 days +23:31:00
SNA,-IF,2018-09-05 03:00:00,2018-09-06 03:29:00,-1 days +23:31:00
SNA,-IF,2018-09-06 03:00:00,2018-09-07 03:29:00,-1 days +23:31:00
FR,-IF,2018-09-07 03:00:00,2018-09-08 03:30:00,-1 days +23:30:00
FR,-IF,2018-09-08 03:00:00,2018-09-09 03:30:00,-1 days +23:30:00
FR,-IF,2018-09-09 03:00:00,2018-09-10 03:30:00,-1 days +23:30:00
SNA,-IF,2018-09-10 03:00:00,2018-09-11 03:29:00,-1 days +23:31:00
SNA,-IF,2018-09-11 03:00:00,2018-09-12 03:29:00,-1 days +23:31:00
FR,-IF,2018-09-30 07:30:00,2018-10-01 08:00:00,0 days 03:15:00
PP1,-IF,2018-10-01 11:15:00,2018-10-01 22:25:00,0 days 12:50:00
PP1,-IF,2018-10-02 11:15:00,2018-10-02 21:45:00,0 days 13:30:00
PP1,-IF,2018-10-03 11:15:00,2018-10-03 22:05:00,0 days 12:55:00
BUS,-IF,2018-10-04 11:00:00,2018-10-04 13:30:00,-1 days +23:30:00
EGP,-IF,2018-10-04 13:00:00,2018-10-04 17:30:00,-1 days +23:30:00
BUS,-IF,2018-10-04 17:00:00,2018-10-04 19:30:00,0 days 12:45:00
R05,-IF,2018-10-05 08:15:00,2018-10-05 11:45:00,0 days 15:15:00
FR,-IF,2018-10-06 03:00:00,2018-10-07 03:30:00,-1 days +23:30:00
FR,-IF,2018-10-07 03:00:00,2018-10-08 03:30:00,-1 days +23:31:00
SNA,-IF,2018-10-08 03:01:00,2018-10-09 03:29:00,-1 days +23:32:00
SNA,-IF,2018-10-09 03:01:00,2018-10-10 03:29:00,-1 days +23:32:00
SNA,-IF,2018-10-10 03:01:00,2018-10-11 03:29:00,-1 days +23:32:00
SNA,-IF,2018-10-11 03:01:00,2018-10-12 03:29:00,-1 days +23:31:00
FER,-IF,2018-10-31 03:00:00,2018-11-01 03:30:00,-1 days +23:30:00
FER,-IF,2018-11-01 03:00:00,2018-11-02 03:30:00,-1 days +23:30:00
FER,-IF,2018-11-02 03:00:00,2018-11-03 03:30:00,-1 days +23:30:00
FER,-IF,2018-11-03 03:00:00,2018-11-04 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-04 02:00:00,2018-11-05 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-05 02:00:00,2018-11-06 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-06 02:00:00,2018-11-07 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-07 02:00:00,2018-11-08 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-08 02:00:00,2018-11-09 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-09 02:00:00,2018-11-10 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-10 02:00:00,2018-11-11 02:30:00,-1 days +23:30:00
FER,-IF,2018-11-11 02:00:00,2018-11-12 02:30:00,-1 days +23:30:00
FR,-IF,2018-12-01 08:55:00,2018-12-02 09:25:00,-1 days +23:30:00
FR,-IF,2018-12-02 08:55:00,2018-12-03 09:25:00,0 days 16:36:00
SNA,-IF,2018-12-04 02:01:00,2018-12-05 02:29:00,-1 days +23:32:00
SNA,-IF,2018-12-05 02:01:00,2018-12-06 02:29:00,-1 days +23:32:00
SNA,-IF,2018-12-06 02:01:00,2018-12-07 02:29:00,0 days 12:11:00
AD4103,-F,2018-12-07 14:40:00,2018-12-07 20:54:00,1 days 05:06:00
FR,-IF,2018-12-09 02:00:00,2018-12-10 02:30:00,-1 days +23:31:00
SNA,-IF,2018-12-10 02:01:00,2018-12-11 02:29:00,-1 days +23:32:00
SNA,-IF,2018-12-11 02:01:00,2018-12-12 02:29:00,-1 days +23:32:00
FR,-IF,2018-12-31 06:00:00,2019-01-01 06:30:00,-1 days +23:30:00
FR,-IF,2019-01-01 06:00:00,2019-01-02 06:30:00,0 days 08:00:00
AD4044,-IF,2019-01-02 14:30:00,2019-01-02 17:14:00,1 days 01:01:00
AD2898,-F,2019-01-03 18:15:00,2019-01-04 02:47:00,0 days 23:38:00
AD5158,-F,2019-01-05 02:25:00,2019-01-05 08:03:00,0 days 00:07:00
LFA,-IF,2019-01-05 08:10:00,2019-01-05 11:10:00,0 days 13:45:00
FR,-IF,2019-01-06 00:55:00,2019-01-07 01:25:00,0 days 00:36:00
SNA,-IF,2019-01-07 02:01:00,2019-01-08 02:29:00,-1 days +23:32:00
SNA,-IF,2019-01-08 02:01:00,2019-01-09 02:29:00,0 days 05:01:00
AD6991,-F,2019-01-09 07:30:00,2019-01-09 16:44:00,0 days 16:56:00
AD4446,-F,2019-01-10 09:40:00,2019-01-10 17:49:00,0 days 13:31:00
AD9068,-F,2019-01-11 07:20:00,2019-01-11 17:09:00,0 days 12:51:00
AD9105,-F,2019-02-02 00:35:00,2019-02-02 09:45:00,0 days 15:10:00
FR,-IF,2019-02-03 00:55:00,2019-02-04 01:25:00,0 days 00:35:00
SNA,-IF,2019-02-04 02:00:00,2019-02-05 02:30:00,-1 days +23:30:00
FR,-IF,2019-02-05 02:00:00,2019-02-06 02:30:00,-1 days +23:30:00
SNA,-IF,2019-02-06 02:00:00,2019-02-07 02:30:00,0 days 17:25:00
AD5188,-F,2019-02-07 19:55:00,2019-02-08 03:20:00,1 days 04:00:00
AD4295,-F,2019-02-09 07:20:00,2019-02-09 16:09:00,0 days 13:36:00
FR,-IF,2019-02-10 05:45:00,2019-02-11 06:15:00,-1 days +23:30:00
FR,-IF,2019-02-11 05:45:00,2019-02-12 06:15:00,-1 days +23:45:00
AD5450,-F,2019-03-01 12:05:00,2019-03-01 21:38:00,0 days 13:47:00
AD5801,-F,2019-03-02 11:25:00,2019-03-02 21:56:00,0 days 12:34:00
AD2487,-F,2019-03-03 10:30:00,2019-03-03 20:52:00,0 days 13:28:00
FR,-IF,2019-03-04 10:20:00,2019-03-05 10:50:00,-1 days +23:30:00
FR,-IF,2019-03-05 10:20:00,2019-03-06 10:50:00,0 days 16:10:00
SNA,-IF,2019-03-07 03:00:00,2019-03-08 03:30:00,-1 days +23:30:00
SNA,-IF,2019-03-08 03:00:00,2019-03-09 03:30:00,-1 days +23:30:00
FR,-IF,2019-03-09 03:00:00,2019-03-10 03:30:00,-1 days +23:30:00
FR,-IF,2019-03-10 03:00:00,2019-03-11 03:30:00,-1 days +23:30:00
SNA,-IF,2019-03-11 03:00:00,2019-03-12 03:30:00,-1 days +23:30:00
FR,-IF,2019-03-31 09:00:00,2019-04-01 09:30:00,0 days 17:30:00
SNA,-IF,2019-04-02 03:00:00,2019-04-03 03:30:00,-1 days +23:30:00
SNA,-IF,2019-04-03 03:00:00,2019-04-04 03:30:00,0 days 06:10:00
AD2409,-F,2019-04-04 09:40:00,2019-04-04 17:00:00,0 days 14:50:00
AD4011,-F,2019-04-05 07:50:00,2019-04-05 11:48:00,0 days 15:12:00
FR,-IF,2019-04-06 03:00:00,2019-04-07 03:30:00,-1 days +23:30:00
FR,-IF,2019-04-07 03:00:00,2019-04-08 03:30:00,-1 days +23:30:00
SNA,-IF,2019-04-08 03:00:00,2019-04-09 03:30:00,-1 days +23:30:00
SNA,-IF,2019-04-09 03:00:00,2019-04-10 03:30:00,0 days 06:50:00
AD6422,-F,2019-04-10 10:20:00,2019-04-10 21:14:00,0 days 12:00:00
AD4148,-F,2019-04-11 09:14:00,2019-04-11 18:53:00,0 days 13:27:00
SNA,-IF,2019-04-30 03:00:00,2019-05-01 03:30:00,0 days 04:10:00
AD9641,-F,2019-05-01 07:40:00,2019-05-01 14:11:00,0 days 17:29:00
AD5280,-IF,2019-05-02 07:40:00,2019-05-02 10:10:00,0 days 12:45:00
AD5703,-F,2019-05-02 22:55:00,2019-05-03 05:30:00,0 days 18:30:00
FR,-IF,2019-05-04 00:00:00,2019-05-05 00:00:00,0 days 00:00:00
FR,-IF,2019-05-05 00:00:00,2019-05-06 00:00:00,0 days 00:00:00
SNA,-IF,2019-05-06 00:00:00,2019-05-07 00:00:00,0 days 00:00:00
SNA,-IF,2019-05-07 00:00:00,2019-05-08 00:00:00,0 days 07:40:00
AD6422,-F,2019-05-08 07:40:00,2019-05-08 14:35:00,0 days 15:00:00
AD5280,-F,2019-05-09 05:35:00,2019-05-09 10:10:00,0 days 12:40:00
AD5703,-F,2019-05-09 22:50:00,2019-05-10 05:30:00,0 days 18:30:00
FR,-IF,2019-05-11 00:00:00,2019-05-12 00:00:00,0 days 00:00:00
FR,-IF,2019-05-31 00:00:00,2019-06-01 00:00:00,0 days 06:00:00
SNA,-IF,2019-06-01 06:00:00,2019-06-01 23:59:00,0 days 03:02:00
RES,-IF,2019-06-02 03:01:00,2019-06-02 06:01:00,0 days 18:00:00
SNA,-IF,2019-06-03 00:01:00,2019-06-03 23:59:00,0 days 04:56:00
FR,-IF,2019-06-04 04:55:00,2019-06-05 04:55:00,1 days 01:05:00
SFX,-IF,2019-06-06 06:00:00,2019-06-06 10:00:00,0 days 20:00:00
SNA,-IF,2019-06-07 06:00:00,2019-06-07 23:59:00,0 days 14:01:00
S14,-IF,2019-06-08 14:00:00,2019-06-08 18:00:00,0 days 12:30:00
FR,-IF,2019-06-09 06:30:00,2019-06-10 06:30:00,0 days 09:30:00
DMF,-IF,2019-06-10 16:00:00,2019-06-10 19:00:00,0 days 18:00:00
DMI,-IF,2019-06-11 13:00:00,2019-06-11 19:00:00,0 days 18:00:00
FR,-IF,2019-06-30 22:00:00,2019-07-01 22:00:00,0 days 00:30:00
FJC,-IF,2019-07-01 22:30:00,2019-07-01 23:30:00,0 days 04:00:00
FJC,-IF,2019-07-02 03:30:00,2019-07-02 23:00:00,0 days 04:30:00
FJC,-IF,2019-07-03 03:30:00,2019-07-03 23:00:00,0 days 01:00:00
SNA,-IF,2019-07-04 00:00:00,2019-07-04 23:59:00,0 days 21:51:00
AD9095,-F,2019-07-05 21:50:00,2019-07-06 06:31:00,0 days 17:29:00
FR,-IF,2019-07-07 00:00:00,2019-07-08 00:00:00,0 days 00:00:00
FR,-IF,2019-07-08 00:00:00,2019-07-09 00:00:00,0 days 00:00:00
FR,-IF,2019-07-09 00:00:00,2019-07-10 00:00:00,0 days 00:00:00
SNA,-IF,2019-07-10 00:00:00,2019-07-10 23:59:00,0 days 00:01:00
SNA,-IF,2019-07-11 00:00:00,2019-07-11 23:59:00,0 days 10:51:00
SNA,-IF,2019-08-01 00:00:00,2019-08-02 00:00:00,0 days 07:40:00
AD4064,-F,2019-08-02 07:40:00,2019-08-02 12:10:00,0 days 15:50:00
PLT,-IF,2019-08-03 04:00:00,2019-08-03 04:01:00,0 days 01:19:00
AD4403,-F,2019-08-03 05:20:00,2019-08-03 10:39:00,0 days 13:21:00
FR,-IF,2019-08-04 00:00:00,2019-08-05 00:00:00,0 days 00:00:00
SNA,-IF,2019-08-05 00:00:00,2019-08-06 00:00:00,0 days 00:00:00
FR,-IF,2019-08-06 00:00:00,2019-08-07 00:00:00,0 days 00:00:00
FR,-IF,2019-08-07 00:00:00,2019-08-08 00:00:00,0 days 00:00:00
SNA,-IF,2019-08-08 00:00:00,2019-08-09 00:00:00,0 days 22:00:00
AD2891,-F,2019-08-09 22:00:00,2019-08-10 06:05:00,0 days 17:55:00
FR,-IF,2019-08-11 00:00:00,2019-08-12 00:00:00,0 days 00:00:00
FER,-IF,2019-08-31 00:00:00,2019-09-01 00:00:00,0 days 00:00:00
FER,-IF,2019-09-01 00:00:00,2019-09-02 00:00:00,0 days 00:00:00
FER,-IF,2019-09-02 00:00:00,2019-09-03 00:00:00,0 days 00:00:00
FER,-IF,2019-09-03 00:00:00,2019-09-04 00:00:00,0 days 00:00:00
FER,-IF,2019-09-04 00:00:00,2019-09-05 00:00:00,0 days 00:00:00
FER,-IF,2019-09-05 00:00:00,2019-09-06 00:00:00,0 days 00:00:00
FER,-IF,2019-09-06 00:00:00,2019-09-07 00:00:00,0 days 00:00:00
FER,-IF,2019-09-07 00:00:00,2019-09-08 00:00:00,0 days 00:00:00
FER,-IF,2019-09-08 00:00:00,2019-09-09 00:00:00,0 days 00:00:00
FER,-IF,2019-09-09 00:00:00,2019-09-10 00:00:00,0 days 00:00:00
FER,-IF,2019-09-10 00:00:00,2019-09-11 00:00:00,0 days 00:00:00
FER,-IF,2019-09-11 00:00:00,2019-09-12 00:00:00,0 days 00:00:00
FR,-IF,2019-09-30 06:00:00,2019-10-01 06:00:00,0 days 00:00:00
