Activity,Id_Leg,Checkin,Checkout,Jornada
AD5169,-M,2018-07-05 17:10:00,2018-07-06 02:09:00,0 days 00:00:00
AD4260,-M,2018-07-05 17:10:00,2018-07-06 02:09:00,0 days 00:00:00
AD4261,-F,2018-07-05 17:10:00,2018-07-06 02:09:00,0 days 09:29:00
PLT,-IF,2018-07-06 15:00:00,2018-07-06 18:00:00,0 days 03:30:00
BUS,-I,2018-07-06 19:00:00,2018-07-07 02:31:00,0 days 00:00:00
AD5016,-M,2018-07-06 19:00:00,2018-07-07 02:31:00,0 days 00:00:00
AD9640,-F,2018-07-06 19:00:00,2018-07-07 02:31:00,0 days 08:01:00
FR,-IF,2018-07-07 15:00:00,2018-07-08 15:30:00,1 days 01:00:00
DMI,-IF,2018-07-08 17:10:00,2018-07-09 00:55:00,0 days 08:15:00
DMI,-IF,2018-07-09 07:55:00,2018-07-09 21:25:00,0 days 14:00:00
FAN,-IF,2018-07-10 03:00:00,2018-07-11 03:30:00,1 days 01:00:00
SNA,-IF,2018-07-11 03:00:00,2018-07-12 03:30:00,1 days 01:00:00
SNA,-IF,2018-08-01 03:01:00,2018-08-02 03:29:00,1 days 00:58:00
SNA,-IF,2018-08-02 03:01:00,2018-08-03 03:29:00,1 days 00:58:00
FR,-IF,2018-08-03 03:00:00,2018-08-04 03:30:00,1 days 01:00:00
FR,-IF,2018-08-04 03:00:00,2018-08-05 03:30:00,1 days 01:00:00
FR,-IF,2018-08-05 03:00:00,2018-08-06 03:30:00,1 days 01:00:00
FR,-IF,2018-08-06 03:00:00,2018-08-07 03:30:00,1 days 01:00:00
SNA,-IF,2018-08-07 03:01:00,2018-08-08 03:29:00,1 days 00:58:00
SNA,-IF,2018-08-08 03:01:00,2018-08-09 03:29:00,1 days 00:58:00
SNA,-IF,2018-08-09 03:01:00,2018-08-10 03:29:00,1 days 00:58:00
AD4179,-I,2018-08-10 15:35:00,2018-08-11 01:28:00,0 days 00:00:00
AD4493,-M,2018-08-10 15:35:00,2018-08-11 01:28:00,0 days 00:00:00
AD5016,-M,2018-08-10 15:35:00,2018-08-11 01:28:00,0 days 00:00:00
AD5024,-F,2018-08-10 15:35:00,2018-08-11 01:28:00,0 days 10:23:00
R22,-IF,2018-08-12 01:00:00,2018-08-12 04:30:00,0 days 04:00:00
